x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0.47046875,0.47046875,0.47046875,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.3784375,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.19437500000000002,0.47046875,0.19437500000000002,0.19437500000000002,0.28640625000000003,0.28640625000000003,0.19437500000000002,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.19437500000000002,0.28640625000000003,0.19437500000000002
0.47046875,0.47046875,0.47046875,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.47046875,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.3784375,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.19437500000000002,0.47046875,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.19437500000000002,0.19437500000000002,0.19437500000000002
0.47046875,0.47046875,0.47046875,0.19437500000000002,0.28640625000000003,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.5625,0.19437500000000002
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.3784375,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.19437500000000002,0.47046875,0.19437500000000002,0.28640625000000003,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.19437500000000002,0.28640625000000003,0.19437500000000002
0.47046875,0.47046875,0.47046875,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.28640625000000003,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002,0.19437500000000002
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.3784375,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875,0.47046875
